horizon,target,lane,item,deliverable,dependency,effort,owner,status,exit_criteria_link
v1.1,2026-10-01,Interop FHIR,FHIR write API,"POST/PUT for Patient, Encounter, Observation; conditional create via If-None-Exist; metadata updated to advertise write capabilities. Foundation pass shipped on feat/v1.1-fhir-write-api (PR #343, merge 3f2b0c3d): V101 partial unique index uk_patient_hospital_registration_active_mrn on (hospital_id, LOWER(mrn)) WHERE is_active = true guarantees conditional-create multi-match (412) is unreachable in practice; PatientFhirWriteService delivers PUT /Patient/{id} on the FHIR-mutable subset (address/telecom/active only â€” identity columns flow through the registration admin path) and POST /Patient with If-None-Exist following the empi-identity policy (0 matches => 404, 1 => 200 with existing, >1 => 412, missing/non-MRN => 422 â€” never auto-provisions); gated behind app.fhir.write.enabled=${FHIR_WRITE_ENABLED:false} so flag-off behaviour is bit-for-bit unchanged; PatientFhirMapper.applyFhirUpdates + extractMrnIdentifier + parseMrnSearchToken added on the write direction; HmsCapabilityStatementProvider advertises Patient.conditionalCreate=true only when the flag is on; 6 IT cases across PatientFhirWriteIT (flag-off â€” PUT/POST 405 + metadata omits conditionalCreate) and PatientFhirWriteEnabledIT (flag-on â€” metadata advertises, POST without If-None-Exist 422, unmatched MRN 404). Row-20 follow-on shipped on feat/v1.1-fhir-write-encounter-observation: EncounterFhirWriteService delivers PUT /Encounter/{id} on a very narrow subset (period.end -> checkoutTimestamp only when currently null; reasonCode[0].text -> chiefComplaint only when currently null/blank); tenant scope via EncounterRepository.findByIdAndHospital_Id + defence-in-depth hospital match on the loaded entity (missing scope or mismatch -> 403); new AuditEventType.ENCOUNTER_UPDATE with entityType=ENCOUNTER. ObservationFhirWriteService delivers PUT /Observation/labresult-{uuid} honoring only note[0].text (appended with pipe-separator if notes already non-blank; duplicate text is a no-op); PUT /Observation/vital-* is rejected 422 BUSINESSRULE (1:N source-row expansion has no single write target â€” labresult-only carve-out from the foundation cell); LAB_RESULT_UPDATED audit with entityType=LAB_RESULT. HmsCapabilityStatementProvider extended to advertise/strip update interaction on Encounter + Observation in step with the flag. PR #343 Copilot-flagged flag-first ordering applied uniformly on PatientFhirResourceProvider @Update + @Create (the original gap noted in fhir-r4-api skill) and on the new Encounter + Observation @Update handlers. Runbook docs/runbooks/fhir-write-api.md extended with the Encounter + Observation honored-subset tables + tenant gate + audit emission. 8 new ITs (EncounterFhirWriteIT/EnabledIT: 2 + 1; ObservationFhirWriteIT/EnabledIT: 3 + 2 â€” flag-off rejection + flag-on metadata + flag-on vital-* labresult-only carve-out). POST /Encounter and POST /Observation explicitly deferred indefinitely (in-app workflow remains canonical creation path); row stays started until SMART App Launcher + Cerner + Epic sandbox conformance soak is recorded.",FHIR read API (done),L,Backend,started,#h2.exit
v1.1,2026-10-01,Interop FHIR,FHIR Bulk Data Access ($export),"Bulk export for Patient and Group; output to S3-compatible bucket; documented in docs/fhir-bulk.md. Foundation pass shipped on feat/v1.1-fhir-bulk-and-everything: FhirOperationsProperties gates the operation under app.fhir.operations.bulk-export.enabled (default false). FhirBulkExportOperationProvider exposes POST /api/fhir/$export (system) + POST /api/fhir/Patient/$export (type-level) as HAPI plain-provider @Operation methods with manualResponse=true; each accepted call returns 202 + Content-Location pointing at /api/fhir-bulk-status/{jobId} (sibling Spring controller because HAPI captures /api/fhir/*; canonical $export-poll-status mounting deferred with the runner). FhirBulkExportService holds an in-memory ConcurrentHashMap of BulkExportJobState; tenant scope from HospitalContextHolder.getActiveHospitalId() pinned at creation, status/cancel from another tenant collapse to 404 (no information leak); honors _since (ISO-8601) and _type (CSV). FhirBulkExportStatusController returns 202+Retry-After:120 on GET (always in-progress in foundation pass) and 202 on DELETE drop, 404 on miss or cross-tenant. HmsCapabilityStatementProvider's new applyOperationVisibility strips the export operation entry when the flag is off so /metadata matches runtime behaviour. AuditEventType.DATA_EXPORT emitted with entityType=FHIR_BULK_EXPORT_JOB on kickoff + cancel. 4 ITs across FhirBulkExportIT (flag-off ΓÇö kickoff system + Patient + status + metadata-omit) and FhirBulkExportEnabledIT (flag-on ΓÇö metadata advertises). Group-level $export deferred (needs GroupFhirResourceProvider); the async NDJSON runner (S3 streaming + persistent fhir_bulk_export_jobs table + output manifest 200 response + spec-compliant 501 on flag-off) is the named row-21 follow-on. Runbook: docs/fhir-bulk.md.",FHIR write API,M,Backend,started,#h2.exit
v1.1,2026-10-01,Interop FHIR,FHIR $everything operation,"Patient compartment export; required by most HIE handshakes. Foundation pass shipped on feat/v1.1-fhir-bulk-and-everything: app.fhir.operations.everything.enabled (default false). @Operation(name=""$everything"", type=Patient.class) on PatientFhirResourceProvider delegates to PatientEverythingService.everythingForPatient(uuid). The service assembles a Bundle (type=searchset) of 1 Patient + up to 200 Encounters (hospital-scoped) + up to 200 vital-sign rows (each fan-out 1:N into Observation resources by ObservationFhirMapper) + up to 200 lab-result Observations (hospital-scoped via labOrder.hospital) + all Conditions (problem list) + up to 200 MedicationRequests (hospital-scoped). Tenant scope: missing active hospital -> 403 Forbidden; cross-tenant patient -> 404. AuditEventType.PATIENT_EXPORT emitted with entry-count description. HmsCapabilityStatementProvider strips the everything operation entry when the flag is off. 2 ITs: PatientEverythingIT (flag-off ΓÇö 401/405 + metadata omit) and PatientEverythingEnabledIT (flag-on ΓÇö metadata advertises). Authenticated wire-level Bundle composition assertion + _since / _type / page cursor / start-end date params + SMART App Launcher conformance soak are the named row-22 follow-on.",FHIR write API,M,Backend,started,#h2.exit
v1.1,2026-10-01,Interop HL7,ORU^R01 â†’ LabResult persistence,"Match by accession number; write to existing lab_result schema; link to encounter; integration tested with Mindray/Sysmex sample messages. Shipped on feat/v1.1-oru-r01-lab-persistence: MllpInboundLabServiceImpl already had core ingestion (LabSpecimen.accessionNumber match -> LabOrder -> Encounter, SYSTEM-actor LabResult write, cross-tenant guard); added (1) MSH-10 idempotency via V98 + LabResult.sourceMessageControlId + partial unique index (analyzer retransmits collapse), (2) IntegrationMessageRecorder wiring for replay/DLQ surface, (3) AuditEventType.LAB_RESULT_UPDATED emission on every accepted ingest, (4) OruR01VendorSampleIngestionTest with realistic Mindray BS-240 (LOINC) + Sysmex XN-1000 (CBC panel, LL critical flag) sample messages plus a retransmit-delegation test.",HL7 MLLP listener (done),M,Backend,started,#h2.exit
v1.1,2026-10-01,Interop HL7,ADT â†’ Admission/Encounter sync,"ADT^A01/A02/A03/A04/A08 trigger Admission and Encounter sync; conflict-resolution rules documented. Foundation pass shipped on feat/v1.1-adt-admission-encounter-sync (PR #332). A01 auto-create + A04 Encounter auto-create + per-hospital intake config (V103/V104) shipped on the follow-ons. Discharge / transfer + admin UI shipped on feat/v1.1-adt-discharge-transfer-and-intake-admin-ui: dispatcher accept-list extended to A02 + A03; MllpInboundAdtVisitProjectionService gains applyDischarge (A03 -> AdmissionStatus.DISCHARGED + actualDischargeDateTime from PV1-45 falling back to now(), idempotent re-send skips audit when row is already DISCHARGED, calculateLengthOfStay refreshed) and applyTransfer (A02 -> Department lookup via findByHospitalIdAndCodeIgnoreCase then findByHospitalIdAndNameIgnoreCase, unresolved destination still audits with the raw token preserved); VisitProjectionResult gains ADMISSION_DISCHARGED + ADMISSION_TRANSFERRED; new audit event types ADMISSION_DISCHARGED + ADMISSION_TRANSFERRED follow the past-tense convention. Admin REST CRUD AdtIntakeProviderConfigController POST/GET/DELETE /api/admin/adt-intake-configs gated on ROLE_SUPER_ADMIN, upsert idempotent on hospitalId. Angular admin UI at /admin/adt-intake-configs with EN+FR+ES i18n. 13 new tests (5 A02 + 4 A03 unit cases on MllpInboundAdtVisitProjectionServiceImplTest, AdtIntakeProviderConfigControllerTest 7 cases, AdtIntakeProviderConfigControllerSecurityTest reflection guard, AdtIntakeConfigComponent karma spec 5 cases). Conflict-resolution rules + operator playbook in docs/runbooks/hl7-adt-conflict-resolution.md. Row stays started until the runbook chapters for A02/A03 land + the admin form gains a hospital picker / department typeahead (currently raw-UUID inputs).",HL7 MLLP listener (done),M,Backend,started,#h2.exit
v1.1,2026-10-01,Patient Identity,EMPI v0 (intra-tenant),"Probabilistic match on name + DOB + sex + national-ID where present; candidate-match workflow in receptionist UI; â‰¥90% recall on labelled audit set. Foundation pass shipped on feat/v2.0-foundation-batch: EmpiProbabilisticProperties under app.empi.probabilistic.enabled (default false, min-score=0.7, max-candidates=10). EmpiProbabilisticMatcher.findCandidates(query) returns empty list both flag-off AND flag-on (scorer body deliberately deferred â€” see runbook). EmpiCandidateQueryDTO (firstName/lastName/dateOfBirth/sex/nationalId) + EmpiCandidateMatchDTO (patientId/displayName/score + per-field confidence booleans). EmpiProbabilisticController POST /api/empi/candidates with @PreAuthorize(SUPER_ADMIN/HOSPITAL_ADMIN/RECEPTIONIST/NURSE/DOCTOR); flag-off returns 404. 5 new tests: EmpiProbabilisticMatcherTest (4 unit cases pinning the empty-contract) + EmpiProbabilisticControllerIT (1 IT â€” flag-off 401/403/404). The Fellegi-Sunter scorer body + labelled audit set + ROC analysis + receptionist UI are the named row-25 follow-on â€” deferred deliberately so threshold tuning happens against real labelled data, not against intuition. Runbook: docs/runbooks/empi-probabilistic-matching.md.",â€”,L,Mixed (Backend + Frontend),started,#h2.exit
v1.1,2026-10-01,Clinical Safety,CDS Hooks LOINC binding,"Bind hms-patient-view problem cards to LOINC alongside existing ICD. Shipped on feat/v1.1-cds-hooks-loinc-binding (PR #333): V100 migration adds loinc_code + loinc_display (nullable) to clinical.patient_problems; ProblemLoincBindings seed table (13 entries spanning cardio / endocrine / respiratory / hematology / malaria / HIV / TB / renal / OB â€” chosen for the WHO-EMRO chronic-care workload pilot hospitals see); PatientViewCdsService.renderProblem now appends typed [ICD-10: ...] and [LOINC: ...] annotations to each problem line, with entity-explicit loincCode taking precedence over the seed fallback. Malformed codes (failing TerminologyCodes regex) are dropped silently â€” card still renders, just without the annotation. 10 new tests cover prefix resolution, subdivision tolerance, case/whitespace, unknown codes, malformed input, and a defence-in-depth check that every seeded LOINC passes the global LOINC regex.",CDS Hooks expansion (v1.0),S,Backend,started,#h2.exit
v1.1,2026-10-01,Clinical Safety,CDS Hooks public discovery,"/api/cds-services validated against Cerner and Epic CDS Hooks sandbox. Foundation pass shipped on feat/v1.1-cds-hooks-public-discovery (PR #338, merge 1a5cca78): SecurityConfig.corsConfigurationSource adds an explicit sandbox-origin group gated by app.cors.cds-hooks-sandbox.enabled=true with sensible defaults (fhir.epic.com / *.epic.com / fhir-ehr-code.cerner.com / sandbox.cerner.com / *.cerner.com / launcher.smarthealthit.org / *.smarthealthit.org) so the partner sandbox UIs can probe HMS without wildcarding; PatientViewCdsService and BpaProtocolsCdsService declare prefetch templates for the FHIR queries each service consumes (patient + allergies + problems on hms-patient-view; patient + vitals + problems + medications on hms-bpa-protocols); CdsHooksDiscoveryIT replaces the single-case shape check with 5 spec-grounded assertions including a CORS preflight from https://launcher.smarthealthit.org. Runbook: docs/runbooks/cds-hooks-sandbox-validation.md. Row stays started until clean discovery+invocation pairs are recorded against all three external sandboxes (SMART App Launcher, Cerner, Epic).",CDS Hooks expansion (v1.0),S,Backend,started,#h2.exit
v2.0,2027-04-01,Mobile,Patient mobile parity (Android),"Add Referrals, Treatments, Billing screens to Android app to match web portal capability. Deferred 2026-05-17 â€"" mobile-team domain; no v1.1 driver yet. Pick up once a mobile contributor lands; cluster with rows 29/30/31 (shared team + tooling).",â€”,L,Mobile,deferred,#h3.exit
v2.0,2027-04-01,Mobile,Patient mobile parity (iOS),"Add Referrals, Treatments, Billing screens to iOS app to match web portal capability. Deferred 2026-05-17 â€"" same as row 28 (mobile-team domain; no v1.1 driver yet).",â€”,L,Mobile,deferred,#h3.exit
v2.0,2027-04-01,Mobile,Push notifications for lab results,"FCM/APNs already wired backend-side; add UI toggles + deep links to LabResultsDetail. Deferred 2026-05-17 â€"" blocked on rows 28/29 mobile parity; backend wiring stays as-is.",Mobile parity,M,Mixed (Mobile + Backend),deferred,#h3.exit
v2.0,2027-04-01,Mobile,Mobile test coverage uplift,"Bring per-app test count from 5 to 30+ (unit + UI snapshots); add Detox or Maestro for E2E. Deferred 2026-05-17 â€"" same mobile-team domain as row 28; bundles with the mobile parity cluster.",â€”,M,Mobile,deferred,#h3.exit
v1.1,2026-10-01,Reporting,KPI dashboard service,"Materialized views for avg door-to-doctor, dispense lead time, no-show rate; surfaced in existing analytics/ module. Foundation pass shipped on feat/v1.1-kpi-dashboard-service (PR #341, merge 74abb291): KpiDashboardService + Impl computes the three KPIs on-demand via native SQL against clinical.encounters (arrival -> triage), clinical.dispenses JOIN clinical.prescriptions (rx.created_at -> dispensed_at), clinical.appointments (NO_SHOW / total) â€” tenant scope from HospitalContextHolder.getActiveHospitalId() with super-admin-without-pin returning an empty rollup; new GET /api/kpi/dashboard?from&to controller with 180-day window cap + @PreAuthorize on SUPER_ADMIN/HOSPITAL_ADMIN/DOCTOR/NURSE/STAFF; hospital-portal new <app-kpi-cards> sub-component embedded inside analytics/ rendering 3 cards (Door-to-doctor / Dispense lead time / No-show rate) with ANALYTICS.KPI.* keys across en/fr/es; KpiDashboardControllerIT (2 cases â€” 401 + non-POST routability). Runbook: docs/runbooks/kpi-dashboard.md. Materialized-view backing deferred to the follow-on once production query load is known (H2 doesn't support MV, and premature materialization wastes autovacuum cycles); median P50 door-to-doctor, sparkline trend, and E2E axe-smoke against seeded data also follow-on.",â€”,M,Mixed (Backend + Frontend),started,#h2.exit
v2.0,2027-04-01,Multi-tenancy,Schema-per-tenant migration path,"Row-level multi-tenancy stays default; schema-per-tenant available for hospitals with strong isolation needs (military, private foreign). Foundation pass landed on feat/v2.0-schema-per-tenant: TenantIsolationMode enum, Hospital.isolationMode + tenantSchemaName columns (V97 + CHECK constraints + partial unique index), SchemaTenantIdentifierResolver + SchemaTenantConnectionProvider + TenantSchemaLookup behind app.tenancy.schema-isolation.enabled (off by default), 28 unit tests, operational runbook docs/runbooks/schema-per-tenant-migration.md. Follow-on PRs: provision-schema.sh, copy-rows.sh, cache-invalidate endpoint.",â€”,XL,Mixed (Backend + Platform),started,#h3.exit
oos,"â€""",Multi-tenancy,Tenant onboarding pipeline,"One-command provision: realm, schema, seed data, observability namespace, Splunk index. Deferred 2026-05-17 â€"" depends on row 33 (schema-per-tenant) being substantially further along than its current foundation pass; pickable once provision-schema.sh, copy-rows.sh, and the cache-invalidation endpoint land.",Schema-per-tenant migration path,L,Platform,deferred,"â€"""
v2.0,2027-04-01,Performance,Read replicas + Hikari tuning,"Hikari pool sized to actual concurrent users; RO replica routing for FHIR reads and dashboards. Foundation pass shipped on feat/v2.0-read-replicas-hikari (PR #334). Follow-on shipped on feat/v2.0-row-35-43-readreplica-healthindicator-synthetic-multigeo: ReadReplicaHealthIndicator (Component named ""readReplica"" + @ConditionalOnEnabledHealthIndicator(""readReplica"")) consolidates wiring posture (routing=enabled|disabled|missing-wrapper), READ-route probe (routedTo=READ|WRITE — surfaces lenient-fallback misroutes even when the probe itself succeeds), and per-call replica freshness (replicaInRecovery, replicaLastReplayTimestamp, replicaLagSeconds via pg_is_in_recovery() + pg_last_xact_replay_timestamp() + EXTRACT(EPOCH FROM now() - last_replay) on the replica pool directly); reports DOWN iff flag intent disagrees with the wired bean graph; opt-out per env via management.health.readReplica.enabled=false. scripts/db/replica-preflight.sh six-check operator harness (env-var presence + URL well-formedness, primary SELECT 1, replica SELECT 1, pg_is_in_recovery()=true (catches replica DSN pointing at primary — the fastest data-corruption path), lag within REPLICA_LAG_BUDGET_SECONDS=5 cross-checked against LSN equality so idle-primary doesn't false-fail, pg_read_all_data membership or SELECT on hospital.patients as the Postgres < 14 fallback); exits non-zero on first failure so a CI / cutover script can gate on the exit code; POSTGRES_VERSION_OVERRIDE escape hatch documented. 5 new ReadReplicaHealthIndicatorTest cases (flag-off baseline / wiring-drift DOWN / READ happy / lenient-fallback WRITE / probe-failure DOWN). Runbook docs/runbooks/postgres-pool-replica-sizing.md updated with the new endpoint + script under Activation playbook step 3 + step 6. Row stays started until a hosted environment runs the 5-business-day UAT soak with the indicator reporting routedTo=READ across the window — actual replica provisioning is operational.",â€”,M,Backend,started,#h3.exit
v2.0,2027-04-01,Performance,Async dispense + lab via Kafka,"Move ORU result + dispense settlement to Kafka consumers; reduce request-thread blocking. Foundation pass shipped on feat/v2.0-foundation-batch: AsyncPipelineProperties under app.async.pipeline.enabled (default false) with env-configurable oruResultTopic / dispenseSettlementTopic / consumerGroup names. No @KafkaListener bodies and no producer-side branches ship â€” the consumer + producer wiring is the named row-36 follow-on, deferred until row 23 (ORU^R01 -> LabResult persistence) has soaked 14 days against real Mindray/Sysmex traffic so the synchronous path's latency baseline is established and the analyzer-retransmit semantics aren't entangled with Kafka-consumer-retry semantics in the eventual incident triage. Runbook: docs/runbooks/async-kafka-pipeline.md.",ORU^R01 persistence,L,Backend,started,#h3.exit
v2.0,2027-04-01,Compliance,SOC 2 Type I â†’ Type II,"Control map (existing audit logs/RBAC/encryption cover ~60% of CC1â€“CC9); gap analysis in docs/compliance/soc2-gap.md; 12-month observation window. Foundation pass landed on feat/v2.0-soc2-gap-analysis: docs/compliance/soc2-gap.md (full control inventory across CC1-CC9 + Availability + Confidentiality, scorecard 12 present / 19 partial / 7 gap of 38 control points; CC6/CC7/CC8 axis at 71% weighted), companion machine-readable docs/compliance/soc2-controls.csv (38 rows with owner/priority/effort/target_close), and 24-item prioritised remediation backlog (10 P0 / 7 P1 / 7 P2) with critical path: P0 closes by 2026-08-15 -> Type I fieldwork 2026-11 -> observation window 2026-11..2027-11 -> Type II report early 2028.",â€”,XL,Mixed (Compliance + Backend),started,#h3.exit
v2.0,2027-04-01,Compliance,HIPAA-equivalent posture,"BAA template; PHI inventory; key rotation; access review cadence â€” for international customers. Foundation pass shipped on feat/v2.0-hipaa-posture (PR #335) â€” mirrors the SOC 2 row-37 pattern. docs/compliance/hipaa-gap.md inventories 51 control points across Â§164 Security Rule (administrative / physical / technical / organizational / docs) + Privacy Rule (minimum necessary + individual rights) â€” scorecard 19 present / 17 partial / 15 gap = 54% weighted, technical-safeguards axis at 75% (Â§164.312(a)(2)(iv) Encryption + Decryption rated partial: AES-256-GCM operational on 14 narrative columns via EncryptedStringConverter, identifier columns plaintext today). Companion machine-readable docs/compliance/hipaa-controls.csv + docs/compliance/hipaa-baa-template.md (11-section BAA draft with sub-BAA table for Railway / Splunk / Grafana / Keycloak host / email + SMS vendors) + docs/compliance/phi-inventory.md (all 18 Â§164.514(b)(2) identifier categories + clinical-record body, per-column encryption status, dataflow map). 27-item remediation backlog (10 P0 / 10 P1 / 7 P2); P0 critical path 2026-09-30 calibrated to land one month after the SOC 2 P0 deadline.",â€”,L,Compliance,started,#h3.exit
v2.0,2027-04-01,Compliance,ECOWAS data-residency support,"Per-tenant region pinning (Railway â†’ AWS or OVH-Africa); required for Senegal/CÃ´te d'Ivoire/Ghana sales. Foundation pass shipped on feat/v2.0-foundation-batch: decision-record doc docs/compliance/ecowas-residency-decision-record.md capturing the per-country residency requirements (Senegal CDP, CI ARTCI, Ghana DPC, BF CIL, Nigeria NDPR, plus framework for the others) + the two viable cloud-procurement options (AWS af-south-1 managed services vs OVH Dakar bare-metal in-country) + the decision criteria matrix (strict residency, ops surface, latency, multi-country expansion, IaC compatibility, row-21 S3 compatibility). No code or schema changes â€” the existing V82 Organization.region column stays as the data-plane the eventual routing layer keys off. The decision blocker is owned by Sales (which ECOWAS customer signs first + what their counsel demands), not Engineering. The row-39 follow-on (region_pin column on hospital.organizations + RegionRoutingService + per-tenant migration playbook + ORGANIZATION_REGION_UPDATED audit extension) ships only after the cloud-vendor decision lands.",â€”,L,Platform,started,#h3.exit
oos,"â€""",Patient Identity,EMPI v1 (cross-tenant),"National-ID-keyed; explicit patient Consent resource per data-sharing event; FHIR Consent. Deferred 2026-05-17 â€"" depends on row 25 (EMPI v0). PR 3 unblocks the scorer follow-on but the cross-tenant + Consent surface remains substantial; revisit after EMPI v0 lands and stabilises.",EMPI v0,L,Backend,deferred,"â€"""
v2.0,2027-04-01,Clinical Depth,OB/GYN + pediatrics finish,"Complete the partially-designed HighRiskPregnancyCarePlan*, NewbornAssessment*, PostpartumCare* services and matching UI. Foundation pass shipped on feat/v2.0-foundation-batch: scope-audit doc docs/runbooks/obgyn-pediatrics-finish-scope-audit.md establishing that the three services already exist as substantial implementations (~391 + ~422 + ~676 LOC respectively) â€” the deliverable's 'finish' language is misleading; what's actually missing is (1) cross-service workflow integration (Pregnancy.outcome enum + NewbornAssessment.parentPregnancyId FK + PostpartumCare.newbornAssessmentId FK + PostpartumCareâ†’ImmunizationService auto-enqueue), (2) three new clinical surfaces (antepartum/partogram, postpartum-hemorrhage emergency, pediatric EPI schedule projector), (3) three frontend completion gaps (visit-schedule panel + feeding-plan/screening/discharge-readiness + contraception-counselling/immunization-embed), (4) PHI encryption audit on NewbornAssessment columns, (5) cross-service happy-path IT. No service code changes today â€” each gap is sized for its own foundation-pass PR rather than one huge bundle. Row stays started until all nine follow-on items close.",â€”,L,Mixed (Backend + Frontend),started,#h3.exit
