ref,family,criterion,status,owner,priority,effort,evidence_or_action,target_close
164.312(a)(2)(iv),Technical,Encryption key management — rotation + crypto-shred runbook,gap,Platform,P1,S,Author docs/runbooks/key-rotation.md covering 12-month rotation + crypto-shred procedure (referenced from BAA template §4.4),2026-12-31
164.312(b),Technical,Audit Controls,present,Backend,—,—,AuditEventLog + 80+ event types + Splunk HEC + CrossTenantReadAudit,—
164.312(c)(2),Technical,Integrity — authenticate ePHI,present,Backend,—,—,DB constraints + JPA @Version optimistic locking + Liquibase versioning,—
164.312(d),Technical,Person or Entity Authentication,present,Backend,—,—,Keycloak OIDC + per-role MFA + RS256 signing (Phase 6),—
164.312(e)(2)(i),Technical,Integrity Controls (in transit),present,Platform,—,—,TLS 1.2+ on all public endpoints; per-protocol auth on inter-service,—
164.312(e)(2)(ii),Technical,Encryption (in transit),present,Platform,—,—,TLS 1.2+ Railway-terminated,—
164.312(e)(2)(ii) MLLP,Technical,MLLP-over-TLS topology,partial,Platform,P2,S,Document operator-side mTLS termination,—
164.314(a)(1),Organizational,BAA — template,gap,Compliance,P0,M,Publish hipaa-baa-template.md (this PR provides draft),2026-09-30
164.314(a)(1),Organizational,BAA — executed contracts,gap,Compliance,P0,M,Sign first international BAA from template,2026-10-15
164.314(a)(1),Organizational,BAA — subcontractor agreements,gap,Compliance,P0,M,Sub-BAA template (Railway etc.),2026-10-15
164.316(a),Documentation,Policies + Procedures,partial,Compliance,P0,M,Add docs/compliance/policies-index.md,2026-09-30
164.316(b)(1),Documentation,Documented policies,partial,Compliance,P1,M,Formalise the policies that runbooks imply,2026-12-31
164.316(b)(2)(i),Documentation,6-year retention,gap,Platform,P0,S,Configure Splunk index retention + DB cold-storage archival,2026-09-30
164.316(b)(2)(ii),Documentation,Availability to ops + patients,partial,Backend,P2,M,Patient-facing disclosures endpoint,—
164.316(b)(2)(iii),Documentation,Annual update cadence,partial,Compliance,P1,S,Add quarterly review cadence to policies index,2026-12-31
Privacy.502(b),Privacy,Minimum Necessary,present,Backend,—,—,Role-permission matrix + hospital-context scoping; TenantAwareJpaRepository,—
Privacy.502(b),Privacy,Minimum Necessary — written policy,partial,Compliance,P1,S,Add written policy to policies index,2026-12-31
Privacy.524,Privacy,Right of Access,present,Backend,—,—,Patient portal + mobile apps expose encounters/prescriptions/labs/allergies/problems,—
Privacy.526,Privacy,Right to Amend,partial,Compliance,P1,M,Author docs/runbooks/patient-record-amendment.md,2026-12-31
Privacy.528,Privacy,Right to Accounting of Disclosures,partial,Backend,P2,M,Build GET /api/patient/me/disclosures endpoint + portal screen,—
Privacy.508,Privacy,Authorization for use/disclosure,present,Backend,—,—,PatientConsent + ConsentType enum with access-time enforcement,—
Privacy.510,Privacy,Opt-in / opt-out (directory),gap,Compliance,P2,L,Scope decision pending — many international deployments don't have an analogous concept,—
Privacy.512,Privacy,Permitted uses / disclosures w/o authz,partial,Compliance,P2,M,Doc-level allowlist of treatment/payment/operations carve-outs,—
